
2021년 12월 13일 16시 48분 52초   =>  코인시스탬 매도 | 아이디 : JCS8 | 코인종류 : BTC | 체결가격 : 60269000원 | 체결금액 : 9944원 | 체결수량 : 0.000165
2021년 12월 13일 16시 50분 39초   =>  코인시스탬 매도 | 아이디 : JCS8 | 코인종류 : DOGE | 체결가격 : 202.9원 | 체결금액 : 99999원 | 체결수량 : 492.853622
2021년 12월 13일 16시 52분 18초   =>  코인시스탬 매수 | 아이디 : JCS8 | 코인종류 : BTC | 체결가격 : 60293000원 | 체결금액 : 99965원 | 체결수량 : 0.001658
2021년 12월 13일 18시 30분 4초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : BTC | 체결가격 : 60424000원 | 체결금액 : 999956원 | 체결수량 : 0.016549
2021년 12월 13일 18시 30분 4초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : ETH | 체결가격 : 4946000원 | 체결금액 : 99999998원 | 체결수량 : 20.218358
2021년 12월 13일 18시 30분 4초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : BTC | 체결가격 : 60448000원 | 체결금액 : 99999972원 | 체결수량 : 1.654314
2021년 12월 13일 18시 30분 4초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : DOGE | 체결가격 : 203.5원 | 체결금액 : 99999999원 | 체결수량 : 491400.4914
2021년 12월 13일 20시 41분 8초   =>  코인시스탬 매수 | 아이디 : JCS1 | 코인종류 : BTC | 체결가격 : 60365000원 | 체결금액 : 999946원 | 체결수량 : 0.016565
2021년 12월 13일 20시 41분 8초   =>  코인시스탬 매수 | 아이디 : JCS10002 | 코인종류 : DOGE | 체결가격 : 203원 | 체결금액 : 4899원 | 체결수량 : 24.137931
2021년 12월 13일 20시 41분 8초   =>  코인시스탬 매수 | 아이디 : JCS10002 | 코인종류 : DOGE | 체결가격 : 203원 | 체결금액 : 2999원 | 체결수량 : 14.778325
2021년 12월 13일 20시 41분 8초   =>  코인시스탬 매수 | 아이디 : JCS10002 | 코인종류 : DOGE | 체결가격 : 203.2원 | 체결금액 : 9991999원 | 체결수량 : 49173.228346
2021년 12월 14일 20시 36분 3초   =>  코인시스탬 매도 | 아이디 : JCS10002 | 코인종류 : DOGE | 체결가격 : 241원 | 체결금액 : 1889756원 | 체결수량 : 7841.315352
2021년 12월 14일 20시 36분 3초   =>  코인시스탬 매도 | 아이디 : JCS10002 | 코인종류 : DOGE | 체결가격 : 240.2원 | 체결금액 : 9928997원 | 체결수량 : 41336.378018
2021년 12월 14일 20시 36분 3초   =>  코인시스탬 매수 | 아이디 : JCS10012 | 코인종류 : BTC | 체결가격 : 58570000원 | 체결금액 : 999965원 | 체결수량 : 0.017073
2021년 12월 14일 20시 36분 3초   =>  코인시스탬 매도 | 아이디 : JCS10012 | 코인종류 : BTC | 체결가격 : 58566000원 | 체결금액 : 99972원 | 체결수량 : 0.001707
2021년 12월 14일 20시 36분 3초   =>  코인시스탬 매수 | 아이디 : JCS10002 | 코인종류 : BTC | 체결가격 : 58613000원 | 체결금액 : 10318897569928980원 | 체결수량 : 176051346.457765
2021년 12월 14일 20시 36분 3초   =>  코인시스탬 매수 | 아이디 : JCS10011 | 코인종류 : DOGE | 체결가격 : 244.5원 | 체결금액 : 9999999원 | 체결수량 : 40899.795501
2021년 12월 14일 20시 36분 3초   =>  코인시스탬 매도 | 아이디 : JCS10011 | 코인종류 : DOGE | 체결가격 : 245원 | 체결금액 : 9999999원 | 체결수량 : 40816.32653
2021년 12월 14일 20시 44분 7초   =>  코인시스탬 매도 | 아이디 : JCS10012 | 코인종류 : BTC | 체결가격 : 58614000원 | 체결금액 : 899959원 | 체결수량 : 0.015354
2021년 12월 14일 20시 44분 7초   =>  코인시스탬 매수 | 아이디 : JCS10012 | 코인종류 : DOGE | 체결가격 : 251.1원 | 체결금액 : 99999999999원 | 체결수량 : 398247710.075667
2021년 12월 14일 20시 44분 7초   =>  코인시스탬 매수 | 아이디 : JCS10011 | 코인종류 : DOGE | 체결가격 : 252.7원 | 체결금액 : 19999998원 | 체결수량 : 79145.227542
2021년 12월 14일 20시 44분 7초   =>  코인시스탬 매도 | 아이디 : JCS10011 | 코인종류 : DOGE | 체결가격 : 253.7원 | 체결금액 : 19999998원 | 체결수량 : 78833.263697
2021년 12월 14일 20시 44분 7초   =>  코인시스탬 매수 | 아이디 : JCS10011 | 코인종류 : ETH | 체결가격 : 4709000원 | 체결금액 : 119999997원 | 체결수량 : 25.483117
2021년 12월 14일 20시 47분 39초   =>  코인시스탬 매수 | 아이디 : JCS10015 | 코인종류 : ETH | 체결가격 : 4707000원 | 체결금액 : 99995원 | 체결수량 : 0.021244
2021년 12월 14일 20시 47분 39초   =>  코인시스탬 매도 | 아이디 : JCS10011 | 코인종류 : ETH | 체결가격 : 4707000원 | 체결금액 : 23원 | 체결수량 : 0.000005
2021년 12월 14일 20시 47분 39초   =>  코인시스탬 매도 | 아이디 : JCS10015 | 코인종류 : ETH | 체결가격 : 4705000원 | 체결금액 : 9998원 | 체결수량 : 0.002125
2021년 12월 14일 20시 49분 36초   =>  코인시스탬 매수 | 아이디 : JCS10011 | 코인종류 : DOGE | 체결가격 : 259.9원 | 체결금액 : 9999999원 | 체결수량 : 38476.337052
